question,option1,option2,option3,option4,correct,explanation
Which of these is NOT one of the lobes of the human brain?,Temporal lobe,Parietal lobe,Cognitive lobe,Occipital lobe,2,"The cognitive lobe is not a part of the brain. The main lobes are frontal, parietal, temporal, and occipital."
Who is considered the father of psychoanalysis?,Carl Jung,Sigmund Freud,Ivan Pavlov,B.F. Skinner,1,Sigmund Freud developed psychoanalysis in the late 19th century.
Which psychological perspective emphasizes observable behaviors?,Psychodynamic,Behaviorism,Humanistic,Cognitive,1,Behaviorism focuses on observable behaviors rather than internal mental states.
What is the primary function of neurotransmitters?,Blood circulation,Chemical messaging,Tissue repair,Energy production,1,Neurotransmitters are chemicals that transmit signals between nerve cells.
Which theory is associated with classical conditioning?,Maslow's hierarchy,Pavlov's dogs,Freud's id,Jung's archetypes,1,Pavlov discovered classical conditioning through his experiments with dogs.
What is the primary function of the hippocampus?,Memory formation,Motor control,Visual processing,Language,0,The hippocampus plays a crucial role in forming and organizing memories.
Which disorder is characterized by extreme mood swings?,Anxiety,Depression,Bipolar disorder,Schizophrenia,2,Bipolar disorder involves alternating periods of mania and depression.
What is the concept of 'nature vs. nurture' about?,Learning styles,Genetics vs. environment,Teaching methods,Brain development,1,This debate concerns the relative influence of genes versus environmental factors.
Which research method provides the strongest evidence for causation?,Case study,Correlational study,Experimental study,Observational study,2,Experimental studies with controlled variables can establish cause-and-effect relationships.
What is the primary function of the amygdala?,Emotion processing,Memory storage,Motor control,Language processing,0,The amygdala plays a key role in processing emotions especially fear.
Which psychologist developed the theory of cognitive development stages?,Freud,Piaget,Skinner,Watson,1,Jean Piaget developed the theory of cognitive developmental stages in children.
What is cognitive dissonance?,Memory loss,Mental conflict,Learning disability,Attention deficit,1,Cognitive dissonance occurs when holding contradictory beliefs causes mental discomfort.
Which part of the brain is responsible for balance and coordination?,Cerebellum,Thalamus,Hypothalamus,Medulla,0,The cerebellum coordinates movement and maintains balance.
What is the Stanford Prison Experiment known for?,Learning theory,Memory research,Social roles,Child development,2,It demonstrated how people adapt to social roles and authority positions.
Which neurotransmitter is associated with pleasure and reward?,Serotonin,Dopamine,GABA,Acetylcholine,1,Dopamine is involved in reward pleasure and motivation.
What is the main focus of positive psychology?,Mental illness,Well-being,Childhood trauma,Brain disorders,1,Positive psychology focuses on well-being happiness and human strengths.
Which defense mechanism involves returning to an earlier stage of development?,Projection,Regression,Repression,Rationalization,1,Regression is returning to an earlier developmental stage when under stress.
What is the primary function of the prefrontal cortex?,Executive function,Emotion,Memory,Vision,0,The prefrontal cortex handles executive functions like planning and decision-making.
Which approach emphasizes free will and self-actualization?,Behavioral,Humanistic,Psychodynamic,Biological,1,Humanistic psychology emphasizes personal growth and self-actualization.
What is the recency effect in memory?,First items remembered,Middle items remembered,Last items remembered,All items forgotten,2,The recency effect is better recall of the most recently presented items.
